,Datetime,Text,retweets,likes
0,2020-06-06 19:28:03+00:00,"Mmetukosea sana! 

Sasa ningeenda hadi pahali gari itaishia mafuta, I am stuck here for another 30days! 

Mkikutana tafadhali mkuje na kila mtu kitanda yake! 

We can’t treat this nomaree, it’s treating us abunomaree! 

#UhuruAddress https://t.co/2C0lKtIMWS",0,2
1,2020-06-06 13:25:27+00:00,CAN'T WAIT 🥰🥰 #6thjune #BlackLivesMatter #CurfewinKenya #wanjohi #babygate #lockdownextension #carryminati #UhuruKenyatta #Memes #Another30 #Gaddafi #Jayden #gangsoflondon #disappointment #UhuruDontLiftLockdown #UhuruAddress #libya #Nandi #Trump HAPPY SATURDAY YA'LL ❤ https://t.co/vK6aVbO4tM,1,10
2,2020-06-06 13:24:27+00:00,Wakenya hawachoki na meme za Uhuru😂😂 #UhuruKenyatta #6thjune #UhuruAddress https://t.co/DgVlTRNpBs,1,4
3,2020-06-06 13:03:01+00:00,Fellow Kenyans #uhuruspeaks #UhuruAddress https://t.co/uszLi5zvOL,0,1
4,2020-06-06 13:02:49+00:00,"#UhuruKenyatta Cessation of movement in Nairobi and Mombasa extended by another 30 days.
Curfew hour extended to 9PM.
#UhuruAddress https://t.co/mdipzsGaOi",0,2
5,2020-06-06 12:54:32+00:00,Tumeni pombe ni sahau hiyo kizungu mingi 😭😭😭😭#uhuruspeaks #UhuruAddress,0,2
6,2020-06-06 12:51:35+00:00,"@MaryAnnWanguiKE Forget #UhuruAddress

Am a fashion designer and I make unique great looking wear for all occasions. 

Please promote my hustle, retweet my customer may be in your timeline. See more on my IG https://t.co/5BiBjxe8Xb https://t.co/k6xIYwmqef",18,40
7,2020-06-06 12:47:12+00:00,"*Nationwide dusk to dawn curfew extended by 30 days starting June 7, from 9pm to 4am;
*Cessation of movement into and out of Eastleigh and Old Town lapse at 4am 7th June
*Cessation of movement into Kilifi and Kwale counties lapse at 4am 7th June
*Schools to reopen #UhuruAddress",4,14
8,2020-06-06 12:37:22+00:00,#UhuruAddress https://t.co/o1Gc2H68Ea,0,0
9,2020-06-06 12:31:56+00:00,Uhuru: Cessation of movement of Eastleigh in Nairobi and Old town in Mombasa to elapse from tomorrow 4AM #UhuruAddress #COVID19,0,1
10,2020-06-06 12:05:59+00:00,"Free Delivery In Ongata Rongai, Karen and Kiserian 

State House
#UhuruDontLiftLockdown 
#6thjune 
Samson Cherargei
#RutoTalaiRituals 
#UhuruKenyatta 
#UhuruAddress https://t.co/bJDWNsjvhj",1,1
11,2020-06-06 11:44:10+00:00,"Here we go . #UhuruAddress 

#6thjune https://t.co/NXbBoARVoq",0,1
12,2020-06-06 07:55:45+00:00,"Lol😅 😂
#6thjune #uhuruaddress https://t.co/E4oKjNGZh9",1,1
13,2020-05-23 18:36:32+00:00,"KENYA will be GREEN again
Issues affecting our society will END  let's just be positive by @Sp_photo254
#EidUlFitr #RIPMakaka #COVID19 #UhuruAddress #UhuruKenyatta #MoonSighting https://t.co/kR3R0m5qsW",7,30
14,2020-05-23 13:30:41+00:00,"That 600m to purchase locally manufactured vehicles doesnt mean they dont have enough cars ama its to add to the more to their motorcade.
I think they own shares in this companies another way of stealing.
 #UhuruAddress",0,0
15,2020-05-23 13:22:29+00:00,"“Money in the hands of a family restores dignity, for it gives people the power to make economic choices in their local spaces instead of lining up waiting for food relief.” ~HE #PresidentUhuruKenyatta #UhuruAddress #COVID19 https://t.co/Sy3FGSoIou",0,2
16,2020-05-23 13:10:28+00:00,"President Uhuru Kenyatta: My administration has set aside Ksh.40B...

Frivolous Tenderpreneurs/Cartels: 👇

#UhuruAddress https://t.co/XtvJkloYEh",0,2
17,2020-05-23 12:57:00+00:00,"The government need to add ""mind your business"" subject in the curriculum. We really need that
1,000 ICT
 #UhuruAddress",0,2
18,2020-05-23 12:43:17+00:00,"My question would be, ""What was really addressed?"" 
Waaaah! This country's situation is very wanting. Hii ni Kenya kweli! 
#UhuruAddress",0,3
19,2020-05-23 12:11:48+00:00,"The difference is like day and night. It's speeches and ousters vs silence and food to the vulnerable.
#UhuruAddress
#RutoGhostNumbers https://t.co/IuSA3ui0oI",0,0
20,2020-05-23 11:53:11+00:00,"#UhuruAddress announces Ksh 53B stimulus plan to jumpstart Kenyan economy
 https://t.co/FkYxVvPOW7",0,1
21,2020-05-23 11:37:05+00:00,"Stimulus package sio 
#UhuruAddress #UhuruKenyatta https://t.co/Eqr6KiEfkE",0,1
