,Datetime,Text,retweets,likes
0,2020-06-06 13:48:50+00:00,#wanjohi #CurfewinKenya #6thjune #TeenRepublikNTV https://t.co/EZJ7zRlcEB,0,1
1,2020-06-06 13:38:06+00:00,"I fear for teenage school girls. God help parents to be very vigilant because what they are doing at home is disaster awaiting. If this continues, I fear CS @InteriorKE @CsMagoha may record a great no.of drop outs due to pregnancies. #6thjune #TeenRepublikNTV #CurfewinKenya",0,0
2,2020-06-06 13:34:12+00:00,"Nani uhunye mbona mazee, si ungecheza chini bana #wanjohi #6thjune #Memes #CurfewinKenya #lockdownextension https://t.co/jlyV1GUTCy",0,0
3,2020-06-06 13:31:31+00:00,Is it too late to go back to 2019? Or can I have a fast forward button please. #6thjune #CurfewinKenya #lockdownextension #StateHouseTime,0,3
4,2020-06-06 13:28:40+00:00,"Unpopular opinion.....
#UhuruKenyatta made the right decision today for everyone's sake. Nairobi and Mombasa still remains the centre of #covid19kenya and #CurfewinKenya   and #lockdownextension will still work. The resumption of things to normal should be gradual #6thjune",0,3
5,2020-06-06 13:28:40+00:00,"Kenyans are not appreciative that they have been added an extra 2hours to eat mutura. 

They’re still complaining!
🌚🙄

#6thjune #wanjohi #CurfewinKenya #lockdownextension",0,0
6,2020-06-06 13:25:28+00:00,The funny part for me was when Uhunye said he has been seeing your memes about freedom. Poleni guys. Aluta continua😭😭😭 #6thjune #CurfewinKenya #StateHouseTime #lockdownextension https://t.co/aQVhWEkdkl,0,4
7,2020-06-06 13:25:27+00:00,CAN'T WAIT 🥰🥰 #6thjune #BlackLivesMatter #CurfewinKenya #wanjohi #babygate #lockdownextension #carryminati #UhuruKenyatta #Memes #Another30 #Gaddafi #Jayden #gangsoflondon #disappointment #UhuruDontLiftLockdown #UhuruAddress #libya #Nandi #Trump HAPPY SATURDAY YA'LL ❤ https://t.co/vK6aVbO4tM,1,10
8,2020-06-06 13:21:12+00:00,"For all those adversely affected by the guidelines announced by the President, be comforted.
Shalom.

#UhuruKenyatta #Another30 #6thJune #Memes #CurfewinKenya #StateHouse #StateHouseTime
Gachuri",0,2
9,2020-06-06 13:21:09+00:00,"Yaani ""your premium tears have been renewed for another 30 days!!!
#6thjune #CurfewinKenya #wanjohi #lockdownextension https://t.co/WZ9NrXQ9Up",1,10
10,2020-06-06 13:08:03+00:00,"Yaani #UhuruKenyatta has pronounced “meme” as it is and y’all just pretending hamjaskia! 🙆🏽‍♂️😂 Dude’s so casual! 

How do you pronounce “meme”

 #6thjune #wanjohi Eastleigh Kilifi Siaya #CurfewinKenya #COVID19",0,2
11,2020-06-06 12:55:18+00:00,"Hi #KOT, how do I apply to be a Tanzanian citizen? Am almost fainting now.
#wanjohi #COVID19 #CurfewinKenya",0,1
12,2020-06-06 12:29:58+00:00,That speech is headed for disappointment 😁 #Uhurustoughchoices #CurfewinKenya #June6th,1,3
13,2020-06-06 12:29:36+00:00,"Eastleigh Viva. 
#CurfewinKenya",0,1
14,2020-06-06 12:27:27+00:00,"Kamwana alete ii kitu tujisomee 😂😂😂
Anatusumbua bure na tushajua anaextend #CurfewinKenya na #lockdownextension",1,8
15,2020-06-06 12:26:05+00:00,"If he had made the address at 11am in the morning, many disappointed Kenyans could have been  seriously intoxicated.
#CurfewinKenya",0,0
16,2020-06-06 12:21:44+00:00,"Just seen the experts in a cut away. 
#CurfewinKenya #June6th",0,2
17,2020-06-06 12:18:33+00:00,"We are all right. 
Open or not open. Kila mtu achukue njia yake. 
#CurfewinKenya",0,1
18,2020-06-06 12:17:03+00:00,"Forget it guys. Not today. 
#CurfewinKenya  #UhuruDontLiftLockdown",0,9
19,2020-06-06 08:07:22+00:00,"👇👇 Vyenye Natafuta glasses zangu ndio niskie Uhunye vizuri 🤣🤣

Akifungua - I’m already tipsy enough for celebrations 🥴

Akikataa - I’m already tipsy enough for tears 😅😅

#wanjohi #June6th #CurfewinKenya https://t.co/OduPL4cMjg",0,0
20,2020-06-06 05:33:08+00:00,"My thoughts on why @tanashdonna latest hit is an introduction of THE NEW TANASHA DONNA 

FULL EPISODE HERE - https://t.co/TKwww5qMeP

#WilkingsPodcastNetwork #UhuruDontLiftLockdown #6thjune #HappySabbath #Nandi #CurfewinKenya #EastAfricans #PresidentUhuruKenyatta https://t.co/AMwonLcImK",0,4
21,2020-06-06 04:53:30+00:00,Opening in a few...Accra plaza shop 12 or halla 0707627623 #CurfewinKenya #StopPoliceBrutality #SaturdayVibes #weekendvibes #freedom https://t.co/ZhTgwaFRgb,1,3
22,2020-06-06 04:35:53+00:00,"#June6th the reality!
#CurfewinKenya 
#Naivasha https://t.co/GtrlYT9bck",1,3
23,2020-06-05 19:38:16+00:00,6/2020..a new year loading.cant wait to form my new year's resolutions.  #CurfewinKenya,0,0
24,2020-06-05 19:37:23+00:00,Kesho jamani mnavukia mwaka wapi?? #CurfewinKenya,0,0
