,Datetime,Text,retweets,likes
0,2020-06-06 16:27:18+00:00,"Gengetone type beat. ""NARE"".
.
.
.
.
. 
 #gengetone #Memes #gengetone #gengetonetotheworld #playke #playkenyanmusic #Beats #6thjune #UhuruDontLiftLockdown #gengetonemusic https://t.co/ilBDNbvmHK",2,3
1,2020-06-06 16:14:36+00:00,"Niaje wadau na wadauwes we are at 1.7k retweets I still believe we can make to 5k rts 🙏🙏Kama hujaretweet please help ur fellow hustler 😭😭
#Memes #6thjune #UhuruDontLiftLockdown #StateHouseTime",2,8
2,2020-06-06 15:16:25+00:00,🤣🤣🙆 Lock it is... #UhuruKenyatta #wanjohi #6thjune #UhuruDontLiftLockdown @WAKARURA66 https://t.co/NSb8rKMoFH https://t.co/JO5sJULIBC,0,1
3,2020-06-06 14:33:58+00:00,"Inauma lakini itabidi tuzoee, #UhuruKenyatta #6thjune #wanjohi #UhuruLiftLockdown, #UhuruDontLiftLockdown https://t.co/Y1ztcmsb3d",0,2
4,2020-06-06 14:31:23+00:00,"#UhuruDontLiftLockdown
*Former curfew*
7pm-5am
=10 hrs
10×21days=210 hrs

*Current curfew*
9pm-4am
=7hrs
7×30 days=210 hrs",1,0
5,2020-06-06 13:25:27+00:00,CAN'T WAIT 🥰🥰 #6thjune #BlackLivesMatter #CurfewinKenya #wanjohi #babygate #lockdownextension #carryminati #UhuruKenyatta #Memes #Another30 #Gaddafi #Jayden #gangsoflondon #disappointment #UhuruDontLiftLockdown #UhuruAddress #libya #Nandi #Trump HAPPY SATURDAY YA'LL ❤ https://t.co/vK6aVbO4tM,1,10
6,2020-06-06 13:03:57+00:00,Atleast #UhuruKenyatta amerudisha masaa ya mutura usiku Bana weeh #wanjohi #6thJune #UhuruDontLiftLockdown https://t.co/zejWgrjbTt,13,44
7,2020-06-06 12:56:33+00:00,"Offer Going on For the Another 30 Days 
#clubsofa
#LiquornestFreeDelivery

#6thjune 
#UhuruKenyatta #UhuruDontLiftLockdown Memes Ruto https://t.co/LXe60j1WPg",0,1
8,2020-06-06 12:48:18+00:00,"I kept my hopes low when I encountered this #UhuruDontLiftLockdown by some paid bloggers. All said and done, they may as well extend the lockdown to December. 2020 has has been a shitty year!",0,0
9,2020-06-06 12:48:14+00:00,"So basically, Uhuru is saying...

Fellow Kenyans, it's not you, it's not me; the scientists have decided! We go for another 30 days!
😬😩
#6thjune #wanjohi #UhuruKenyatta #UhuruDontLiftLockdown",1,1
