,Datetime,Text,retweets,likes
0,2020-07-22 03:35:10+00:00,"This image clearly illustrates the importance of social distancing. Keep this in mind for it could be what saves you from getting the virus. 

Stay Safe.
#250NotJustANumber https://t.co/QTDjc8uaVp",1,1
1,2020-07-22 03:15:05+00:00,"1. Jeff Koinange has tested positive and is doing well.  
2. Papa Shirandula (May his soul RIP) passed on from the virus
3. I am sure you have heard of a close friend who has the virus. 

What more evidence do you need? Stay Safe everyone. 

#250NotJustANumber https://t.co/RCXvTkbAVL",3,3
2,2020-07-21 20:14:48+00:00,"You can still go outdoor and enjoy the fresh air during this tough times. Sneak away and get a private session from our head Pro @Nmudanyi69 or even a round of golf. 
#staysafe 
#golfcoach #golfpractice #golfstagram… https://t.co/PJfAzGRLi2",0,0
3,2020-07-21 13:56:34+00:00,With the instant notification you can warn then of the consequences of theft via the Spotted Anywhere Camera CCTV or contact your reinforce to stop the thieves from getting their way with your property. #COVID19 #staysafe #secureyou #secureyourbusiness #securityproblemssolved https://t.co/hpeBs1LHtW,0,0
4,2020-07-21 13:56:31+00:00,"Imagine that we installed in your shop our Spotted Shop Security box. Then some indisciplined person, Kenyans can be really indisciplined (Imagine Mutahi Kagwe's voice and facial expression) tries to break in. You will instantly get notified. #staysafe #COVID19
Wear masks https://t.co/yZMYQM8XRF",0,3
5,2020-07-21 12:38:28+00:00,"Just because we are staying at home doesn’t mean we can’t look and feel good! Shop the new clothing collection @Alladin_WOB while staying safe and social distancing!⭐️

Opening times: 
Mon-Sun 8am to 5pm 

Contact: 0791 888 880 #Southfieldmall #alladinworldofbrands #staysafe https://t.co/IsGRL2D8s3",0,0
6,2020-07-21 09:10:02+00:00,"We are back like we never left😃
It's official. We are now open.
#socialdistance👌
#masking👌
#handwashpoints👌
#sanitizers👌
#MOHapproved👌
#staysafe",0,1
7,2020-07-21 08:37:37+00:00,"✨🌟 ENJOY NATURAL 🌟🌺
|- Good Morning! ☀️ ~ It’s a beautiful day! #StaySafe #StayHealthy #StayPositive @ My Happy Place https://t.co/ZfHmDGuk5p",0,0
8,2020-07-21 08:11:08+00:00,"We welcome @owago officially to Farmer's Choice .... We look forward to working with you and doing amazing collaborations with Owago's Kitchen....

#StaySafe#feedingthenation #newbeginnings #owagoskitchen #farmerschoice https://t.co/ktgPWPl19o",3,6
9,2020-07-21 06:58:43+00:00,LET'S BEAT CORONAVIRUS: Monicah and Morris are beneficiaries of the water backpack. They thank Partners for Care for the donation which will assist them wash their hands and stay safe. https://t.co/RQTteDoBQq,1,3
