,Datetime,Text,retweets,likes
0,2020-05-31 17:09:19+00:00,"Pres Kenyatta is saying what we all expected. There's nothing new.
It wasn't worth it. @ntvkenya
That was just clout
#UhurusToughChoices",0,1
1,2020-05-31 17:08:55+00:00,"Just like that the interview is done. I expected more but haidhuru
#uhuruspeaks 
#UhurusToughChoices",3,4
2,2020-05-31 17:07:34+00:00,"H.E President Kenyatta - We may not agree politically, but let us create an environment where different political ideologies can be expressed without shedding of blood and destruction of property. #UhurusToughChoices",0,3
3,2020-05-31 17:07:32+00:00,"""Remembered for Democracy"" 😅😅😅😅... Hiyo list! 
President Uhuru Kenyatta 
#UhurusToughChoices",0,6
4,2020-05-31 17:06:09+00:00,"H.E President Uhuru: The priority of any government is to protect life and property. Economy is important but there is no point of having an economy amongst people who don’t have life. It’s a difficult balance. 

#UhurusToughChoices",1,3
5,2020-05-31 17:02:02+00:00,"He's still following on his roots to archive the BIG 4 AGENDA! Woiiii can I go laugh outside? Narudi 
President Uhuru Kenyatta 
#UhurusToughChoices",0,3
6,2020-05-31 17:00:37+00:00,"I will do everything in my power to reach everyone in this country...Irregardless of where you come from, colour, background, you must and will feel at home. That is a principle agenda of Jubilee ~President Uhuru Kenyatta 

#UhurusToughChoices",0,1
7,2020-05-31 16:59:30+00:00,Irregardless😂 #UhurusToughChoices 👌🏼,0,3
8,2020-05-31 16:57:58+00:00,#UhurusToughChoices https://t.co/Bix5lxBrWm,0,0
9,2020-05-31 16:57:17+00:00,"On #BBI: Let us come together...we may not agree all of us...
If we did, we'd not be a democracy.
#UhurusToughChoices",0,0
10,2020-05-31 16:55:22+00:00,"Lemmi laugh like Wanjohi mbicossss 'hehehehe'
President Uhuru Kenyatta
#UhurusToughChoices #ReopenKenya",0,3
11,2020-05-31 16:52:57+00:00,#UhurusToughChoices - Watching https://t.co/xEpWo2BVCO,0,1
12,2020-05-31 16:51:26+00:00,"#UhurusToughChoices 
You mean maggy amekua mbsa Tangu curfew ianze😊 
Truelly its a tough choice for UK
@Hopkins_MK @amonyator_ @kevo_rop @am_BeTT @SammyMonoo_KE",1,2
13,2020-05-31 16:48:06+00:00,Has the government considered the tonic from Madagascar? @mutuma_mathiu @NationMediaGrp #UhurusToughChoices https://t.co/hqlh34GoEt,0,1
14,2020-05-31 16:45:42+00:00,Now watching #UhurusToughChoices 👌🏼,0,0
15,2020-05-31 16:45:02+00:00,Speaking sensibly. #UhurusToughChoices,0,1
16,2020-05-31 16:38:51+00:00,"Very tough choices
#coronaviruskenya
@ntvkenya
#UhurusToughChoices https://t.co/gedLNNc4gd",0,0
17,2020-05-31 16:32:19+00:00,"@ntvkenya President Uhuru Kenyatta appears relaxed in this interview.
Having neutered the Opposition by bringing in Raila Odinga to his side and successfully taminh his deputy, Dr. William Ruto it's perhaps his most peaceful period at the helm.
Dude has added weight 😅
#UhurusToughChoices",2,5
18,2020-05-31 16:27:04+00:00,#UhurusToughChoices on @ntvkenya,0,1
19,2020-05-31 15:54:37+00:00,"Another happy Client!

I did this within two days
We are expert who understands the nitty gritty of what it entails to register a company in Kenya . 
#Companyregistration
#businessregistration
#wetangula #FordKenya #UhurusToughChoices #CongratulationsRuto https://t.co/bc0vf3dMYD",0,1
20,2020-05-31 15:31:36+00:00,"I can confirm, I will be watching @ntvkenya  at 7.30PM 

There after we shall change the symbol of @JubileePartyK from two hands to one hand.

Any suggestion on possible  symbols... Ama tuweke picha ya @RailaOdinga 😆😆😆😆😆😆
#UhurusToughChoices",2,2
21,2020-05-31 09:16:06+00:00,#uhurusToughChoices https://t.co/omxOURVyXn,0,3
22,2020-05-30 14:40:21+00:00,"Dembe get the jet we going to Nyeri,Kenya tell Liz the next on the list is blacklist no.254 Alex G Ndiritu and come with back up #COVID19
#TeleAfya #UhurusToughChoices #blacklist #riots2020 #USArevolts #myafricamyhistory #adatsacademy https://t.co/eyG7SDpLiH",0,2
23,2020-05-30 10:12:37+00:00,"@Jeypah_Amaru @mkuyule @The_EastAfrican Spell it out for him...#KenyattaCronyCapitalismStateCapture
#UhurusToughChoices https://t.co/i0TVTkbTZd",0,0
24,2020-05-30 10:09:36+00:00,"@The_EastAfrican #KenyattaCronyCapitalismStateCapture
#UhurusToughChoices https://t.co/xs7fEPAFJi",0,0
25,2020-05-29 17:33:41+00:00,".@MusaliaMudavadi ~ I can't deputize William Ruto. I'm senior than him. I'm more experienced than him. I'm a CLEAN MAN. Ruto has a lot of BAGGAGE. He is a THIEF. Donkey can't lead a Horse.

#UhurusToughChoices https://t.co/VTu4f7Qu1f",9,29
26,2020-05-29 13:33:05+00:00,APPRECIATE YOURSELF ✌ #alexmwakideu #JusticeForGeorgeFloyd #BlackLivesMatter #Minneapolis #edgaobare #VirtualParliamentKE #COVID19 #magufuli  #donaldisoverparty #MinneapolisRiot #AngamizaCoronaSioRaia #schoolreopening #lockdownextension #UhurusToughChoices #Magoha #Burundi https://t.co/PLToK2tlXq,0,3
27,2020-05-29 13:29:38+00:00,"#UhurusToughChoices
Wgen the dust settles, Uhuru has to choose between @WilliamsRuto and @RailaOdinga. 

They no about that",0,0
28,2020-05-29 13:24:54+00:00,"#UhurusToughChoices
If this is not uhurus choice. It shall surely end in tears https://t.co/bzTTXj5BVa",0,1
29,2020-05-29 13:23:59+00:00,"Without @WilliamsRuto
It will end in tears
#UhurusToughChoices",0,0
30,2020-05-29 11:30:25+00:00,#UhurusToughChoices https://t.co/zr02aGJRr1,0,1
31,2020-05-29 11:30:12+00:00,#UhurusToughChoices https://t.co/5J2rKnbF6h,0,1
32,2020-05-29 10:27:06+00:00,"Scheduled for 02.06.2020. For more info visit https://t.co/VRmFpwKgw7
#FlintDeejay #FineTuned #Hiphop #crunk #World #Music #Mixtape #NewMixalert
.
.
#alexmwakideu #edgaobare #JusticeForGeorgeFloyd #BlackLivesMatter #MinneapolisRiot #lockdownextension #OPPOA92 #UhurusToughChoices https://t.co/LwXXKPpwfl",0,2
